Attribute name	Int. Data	Description
node.id	PID	Unique ID of the comment
node.created_at	SID + PID	Timestamp in Unix time format of the creation date and time of the comment
node.text	SID	Plain-text content of the comment
node.owner.*	[SID]	A JSON object containing details about the author of the comment
node.owner.id	PID	Unique ID of the account
node.owner.is_verified	SID	Whether the account is verified or not
node.owner.profile_pic_url	PID	Direct URL to the account’s profile image
node.owner.username	SID	Plain-text version of the account’s username
node.likes_count	SID	The number of likes the comment has received
node.answers.*	[SID]	An array of JSON objects containing the replies to the comments – each one structured as the main comment
