turn	comment_timestamp	comment_id	reply_to	username	comment_text	negative	neutral	positive	compound	fear	joy	anger	sadness	love	surprise
1	1662545274.889934	UgxRqHRnwAelIPmIW454AaABAg	na	Kosmic	"Be sure to follow the Twitch stream so you can participate next time!
http://www.twitch.tv/kosmic"	0.0	0.834	0.166	0.3802	0.0006110440008342266	0.9969204664230347	0.0010109911672770977	0.000612446223385632	0.0005889174644835293	0.0002562185109127313
2	1662545274.968195	UgxYMZCFRGykyzF1GJt4AaABAg	na	Brendan Rizzo	Once humans tie the TAS all the way through, this will become a legit category.	0.0	1.0	0.0	0.0	0.04108056798577309	0.8597100377082825	0.08644036203622818	0.00863378494977951	0.0023000056389719248	0.0018352839397266507
3	1662545274.973882	Ugx6FF3iZjsf2I9fba94AaABAg	na	Tyler gaming	!cc	0.0	1.0	0.0	0.0	0.1346588432788849	0.1879064291715622	0.6165849566459656	0.04158730059862137	0.008059537038207054	0.011202950961887836
4	1662545274.976901	UgwpV54NKStSfz4C8DV4AaABAg	na	Cabarkin	Who knew that in order to beat the world record, all Mario had to do was to turn Irish	0.0	1.0	0.0	0.0	0.016456715762615204	0.7326521277427673	0.218092143535614	0.026315325871109962	0.003598099807277322	0.002885592868551612
5	1662545274.980428	UgzGwtc35zsJu9YmOFV4AaABAg	na	Matheus Cabral	watch out with that description, you might get sued	0.0	1.0	0.0	0.0	0.02259005606174469	0.003230932168662548	0.9668650031089783	0.006145462393760681	0.0005110368365421891	0.0006575477309525013
6	1662545274.983063	UgzMp-F9XRzAO19M3I14AaABAg	na	Ryet9	🤣	0.0	0.556	0.444	0.4939	0.20170214772224426	0.18483927845954895	0.4054216146469116	0.17957453429698944	0.014068053103983402	0.014394465833902359
7	1662545274.987733	UgznIlEE37xTnzLvj9d4AaABAg	na	Falkite	that was easy! all mario had to do was break the sound barrier	0.096	0.701	0.203	0.4003	0.15600191056728363	0.2722741365432739	0.34201934933662415	0.2211710512638092	0.0028815146069973707	0.005652023479342461
8	1662545275.234295	9fKRB1bGumM9fKRKgv7134	UgxRqHRnwAelIPmIW454AaABAg	⚒️ SpareEnderboy ⚒️	what a time to be alive	0.0	0.658	0.342	0.3818	0.0034151985310018063	0.9803613424301147	0.00656567607074976	0.0054265474900603294	0.0017925718566402793	0.0024387117009609938
9	1662545275.242576	9fKRB1bGumM9fKUPjdobqc	UgxRqHRnwAelIPmIW454AaABAg	Nada • 10.9B de vistas . hace 2 segundos	how i make speedrun on android?	0.0	1.0	0.0	0.0	0.27577072381973267	0.20936092734336853	0.4900687634944916	0.012657009065151215	0.0034268409945070744	0.008715840987861156
10	1662545275.251224	9fKRB1bGumM9fL7Hua4NNL	UgxRqHRnwAelIPmIW454AaABAg	OG EZ PB	wait a minute... the SMB1 star doesn't give Mario extra speed!	0.0	1.0	0.0	0.0	0.08716005086898804	0.6385249495506287	0.2447483241558075	0.02121032401919365	0.0023427195847034454	0.006013688165694475
